id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420580218281021446,1420331000157118466,2021-07-29 05:01:31 Namibia Standard Time,2021-07-29,05:01:31,+0200,170716072,mahanedza,Moshe - I believe,,@Thembisile_Q @niqita11 You can open a Standard Bank account online  transfer money from your account with your existing bank and effect the eft transaction. That is an option.,en,[],[],[],0,0,0,[],[],https://twitter.com/Mahanedza/status/1420580218281021446,False,,0,,,,,,,,"[{'screen_name': 'Thembisile_Q', 'name': 'Thembisile Q', 'id': '1240282987385827329'}, {'screen_name': 'niqita11', 'name': 'MINISTER OF HIV', 'id': '823246377383825409'}]",,,,
1420574607577214979,1420574607577214979,2021-07-29 04:39:14 Namibia Standard Time,2021-07-29,04:39:14,+0200,2357828917,gtaolover,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,,【GTAO】パシフィック銀行強盗準備「ハッキング」おとりチームで黒バンを最速最短距離で運ぶルーティング Pacific Standard Bank - Setup Hack 【PS4】  https://t.co/G81LQ2OJAm #GTA5,ja,[],['https://youtu.be/2_FxBTu_ReA'],[],0,0,0,['gta5'],[],https://twitter.com/GTAOLOVER/status/1420574607577214979,False,,0,,,,,,,,[],,,,
1420571230516678660,1420335132972617729,2021-07-29 04:25:48 Namibia Standard Time,2021-07-29,04:25:48,+0200,1456681057,kingsushi2,Teboho More,,@c_crealz @Mkay_Azania @StandardBankZA @deft_pr @tymebankza I too am slowly doing the same. Standard bank ke flopo🚮🚮🚮,en,[],[],[],0,0,0,[],[],https://twitter.com/kingSushi2/status/1420571230516678660,False,,0,,,,,,,,"[{'screen_name': 'c_crealz', 'name': 'Toonz', 'id': '319556941'}, {'screen_name': 'Mkay_Azania', 'name': '⚪Beware the wedge driver⚫OR Tambo', 'id': '178043150'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'deft_pr', 'name': 'Deft PR', 'id': '910442771944759296'}, {'screen_name': 'tymebankza', 'name': 'TymeBank', 'id': '904269971446005760'}]",,,,
1420559576001249287,1420559576001249287,2021-07-29 03:39:30 Namibia Standard Time,2021-07-29,03:39:30,+0200,2357828917,gtaolover,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,,【GTAO】パシフィック銀行強盗準備「信号」で死にかけたけど助かったクリスマスの奇跡 Pacific Standard Bank Heist - Signal Setup 【PS4】  https://t.co/9JSv7gpLgp #GTA5,ja,[],['https://youtu.be/Mb0h_aMjCv4'],[],0,0,0,['gta5'],[],https://twitter.com/GTAOLOVER/status/1420559576001249287,False,,0,,,,,,,,[],,,,
1420550608684257282,1420550608684257282,2021-07-29 03:03:52 Namibia Standard Time,2021-07-29,03:03:52,+0200,1297865937262174211,bhekala1,Bhekala,,Scrum Master - Standard Bank - Gauteng  https://t.co/SfSu25Sdhk #CV #resume,en,[],['https://jobs.bhekala.co.za/news/scrum-master-standard-bank-gauteng?uid=119372'],[],0,0,0,"['cv', 'resume']",[],https://twitter.com/Bhekala1/status/1420550608684257282,False,,0,,,,,,,,[],,,,
1420542283179507712,1420542283179507712,2021-07-29 02:30:47 Namibia Standard Time,2021-07-29,02:30:47,+0200,1014507244858302464,bikofiles,Sunshine 🤩,,Standard bank financed apartheid!    #RacistBanksMustFall,en,[],[],[],1,1,3,['racistbanksmustfall'],[],https://twitter.com/Bikofiles/status/1420542283179507712,False,,0,,,,,,,,[],,,,
1420536859856232449,1420536859856232449,2021-07-29 02:09:14 Namibia Standard Time,2021-07-29,02:09:14,+0200,2357828917,gtaolover,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,,【GTAO】 パシフィック銀行強盗エリートチャレンジ The Pacific Standard Bank Job Heist Elite Challenge - FINALE 【PS4】  https://t.co/xqtKGdc0mj #GTA5,ja,[],['https://youtu.be/7vYgSnJbQMY'],[],0,0,0,['gta5'],[],https://twitter.com/GTAOLOVER/status/1420536859856232449,False,,0,,,,,,,,[],,,,
1420536546676064256,1420536546676064256,2021-07-29 02:07:59 Namibia Standard Time,2021-07-29,02:07:59,+0200,1297865937262174211,bhekala1,Bhekala,,Scrum Master - Standard Bank - Gauteng  https://t.co/kQvzpZcN2Z #CV #joblinks,en,[],['https://jobs.bhekala.co.za/news/scrum-master-standard-bank-gauteng?uid=119398'],[],0,0,0,"['cv', 'joblinks']",[],https://twitter.com/Bhekala1/status/1420536546676064256,False,,0,,,,,,,,[],,,,
1420535508351033345,1420535508351033345,2021-07-29 02:03:52 Namibia Standard Time,2021-07-29,02:03:52,+0200,1297865937262174211,bhekala1,Bhekala,,Scrum Master - Standard Bank - Gauteng  https://t.co/yQr0tayLJh #CV #joblinks,en,[],['https://jobs.bhekala.co.za/news/scrum-master-standard-bank-gauteng?uid=119352'],[],0,0,0,"['cv', 'joblinks']",[],https://twitter.com/Bhekala1/status/1420535508351033345,False,,0,,,,,,,,[],,,,
1420531352080953345,1420529782043942913,2021-07-29 01:47:21 Namibia Standard Time,2021-07-29,01:47:21,+0200,968566343925723137,iamshainmachel,THE LANDLORD,,@_Samukayyy Come to Standard bank,en,[],[],[],0,0,1,[],[],https://twitter.com/Iamshainmachel/status/1420531352080953345,False,,0,,,,,,,,"[{'screen_name': '_Samukayyy', 'name': 'Samu.', 'id': '974416484997922817'}]",,,,
